TRACK,P1X,P1Y,P2X,P2Y,DIRECTION,MINX,MINY,MAXX,MAXY
453,16.376699447631836,168.2610321044922,27.920597076416016,169.71575164794922,"PX",-271.52325439453125,-724.08056640625,144.531494140625,672.005126953125
599,28.101449012756348,168.2213897705078,16.526172637939453,166.7698974609375,"NX",-263.0734558105469,-728.1431884765625,145.7529296875,672.9078979492188
123,533.0271911621094,28.82727813720703,547.0716857910156,-14.623091220855713,"NX",206.8373565673828,-732.6707153320312,694.9609375,54.856056213378906
598,548.447265625,-18.89547061920166,532.97998046875,28.997958183288574,"PX",205.8182373046875,-734.4424438476562,701.16552734375,70.72554779052734
122,75.08564758300781,390.1422424316406,97.1390609741211,356.7498321533203,"NX",-650.592041015625,-137.3792266845703,718.1531372070312,660.7261962890625
125,149.64134979248047,-344.9230041503906,130.35572052001953,-343.85841369628906,"NX",-185.01075744628906,-530.8831787109375,189.28453063964844,-218.5666961669922
452,132.37276458740234,-346.9989471435547,152.04074096679688,-344.6361846923828,"PX",-184.8609161376953,-537.3515014648438,170.4611053466797,-217.6552276611328
1240,-348.8527526855469,-517.7493896484375,-332.72303771972656,-516.6730041503906,"PX",-365.4161682128906,-876.1976318359375,365.8918151855469,878.7100830078125
1264,-348.8699035644531,-517.7522888183594,-332.7200164794922,-516.676025390625,"PX",-365.54595947265625,-876.0692749023438,361.8284606933594,677.755615234375
469,-533.8807983398438,420.57037353515625,-513.4293518066406,422.5904541015625,"PX",-552.0929565429688,-1264.98388671875,730.7159423828125,906.1421508789062
742,-533.8451232910156,420.57373046875,-513.4436950683594,422.5865478515625,"PX",-540.0213012695312,-1264.9573974609375,730.6227416992188,904.724853515625
9999,38.00283432006836,-777.7614135742188,24.98689842224121,-756.8504333496094,"PX",-474.7970275878906,-812.8882446289062,388.6869201660156,816.0532836914062
874,244.52886962890625,-91.32514190673828,228.96817779541016,-101.13956069946289,"NX",-587.7329711914062,-500.2098388671875,372.27459716796875,654.5736083984375
1249,244.5157928466797,-91.33621597290039,228.919677734375,-101.16798782348633,"NX",-593.3724975585938,-514.4763793945312,372.30377197265625,655.4268798828125
1250,244.5086212158203,-91.3375244140625,228.9428253173828,-101.15840911865234,"NX",-270.78118896484375,-502.07110595703125,371.9106140136719,452.2666015625
1265,172.38362884521484,-323.52899169921875,175.75753021240234,-337.7241668701172,"NX",-27.825218200683594,-518.5205078125,216.3842010498047,-274.3410339355469
896,-84.0755386352539,-22.668038368225098,-96.16584777832031,-4.42443323135376,"PX",-751.4319458007812,-241.2224578857422,487.9460754394531,634.7183837890625
898,-84.00386047363281,-22.77242946624756,-96.17707824707031,-4.414409399032593,"PX",-371.3504333496094,-195.03192138671875,487.7861022949219,634.760009765625
119,-145.82221221923828,-410.7692413330078,-138.8154067993164,-395.84144592285156,"PX",-417.1120910644531,-464.25146484375,415.276611328125,468.90576171875
346,-145.8287124633789,-410.79412841796875,-138.81936645507812,-395.85545349121094,"PX",-419.4136047363281,-465.5007629394531,158.68885803222656,-57.84276580810547
825,-683.0066833496094,-611.4625854492188,-670.8760986328125,-602.2850952148438,"PX",-953.5664672851562,-1324.811767578125,1059.4886474609375,927.22900390625
826,-670.8635559082031,-602.2805480957031,-683.0201721191406,-611.4648132324219,"NX",-937.5187377929688,-1322.3277587890625,1055.15771484375,923.3383178710938
827,-683.021484375,-611.4614562988281,-670.85498046875,-602.2731628417969,"PX",-935.6709594726562,-965.6345825195312,712.5621337890625,1211.6724853515625
828,-670.8727111816406,-602.28369140625,-683.0073852539062,-611.46630859375,"NX",-937.4682006835938,-964.236572265625,709.0703125,1209.731689453125
829,-682.9992980957031,-611.4596557617188,-670.8843078613281,-602.2815246582031,"PX",-1507.2757568359375,-1361.7156982421875,806.042724609375,1211.2144775390625
830,-670.8664245605469,-602.2715759277344,-683.0045776367188,-611.4557800292969,"NX",-1511.0152587890625,-1361.39794921875,801.536376953125,1209.9864501953125
10,551.7752685546875,-157.35470581054688,537.6558532714844,-145.6670379638672,"PX",-980.5219116210938,-526.0859375,980.1845703125,517.2938842773438
442,551.7645263671875,-157.35777282714844,537.6604309082031,-145.6583023071289,"PX",321.867919921875,-268.32855224609375,979.90869140625,517.2817993164062
152,-365.50401306152344,196.45897674560547,-380.6984100341797,200.27308654785156,"PX",-420.75933837890625,-521.3978271484375,231.6879119873047,516.7240600585938
154,388.37110900878906,114.71354293823242,369.06980895996094,117.17876434326172,"PX",-691.74755859375,-587.3276977539062,428.725830078125,529.9686889648438
353,-389.51194763183594,629.3058471679688,-390.1100769042969,640.6631469726562,"PX",-773.0867309570312,-862.09814453125,654.6434936523438,655.7799072265625
1260,-2809.851806640625,-4261.223876953125,-2820.7852783203125,-4250.2822265625,"PX",-5262.9599609375,-5263.24658203125,5262.751953125,5263.23876953125
95,-965.7812194824219,1539.7144775390625,-957.8050231933594,1532.257568359375,"NX",-3046.011474609375,-3170.082763671875,3041.221923828125,1680.3895263671875
348,-1069.8346557617188,1886.40673828125,-1083.6497192382812,1873.0433959960938,"NX",-3046.18310546875,-3170.390869140625,3040.780517578125,3162.680908203125
349,-1069.7940673828125,1886.4241333007812,-1083.7342529296875,1872.9585571289062,"NX",-2039.7843017578125,1639.9876708984375,-914.498046875,3167.545166015625
116,356.7405242919922,-1043.3532104492188,358.6788635253906,-1054.9793090820312,"NX",-1297.1163330078125,-1077.74755859375,624.2740478515625,2071.643798828125
462,-318.34185791015625,-586.0315246582031,-302.0360412597656,-595.3787231445312,"NX",-766.2285766601562,-937.8657836914062,505.0465087890625,1124.3341064453125
1269,-318.35142517089844,-586.0354614257812,-302.1111755371094,-595.3380126953125,"NX",-769.1748657226562,-934.3897705078125,503.9006652832031,1121.0213623046875
454,-1351.5704345703125,-1241.7894897460938,-1333.8836669921875,-1241.3355102539062,"PX",-1354.8602294921875,-2574.691650390625,1373.4300537109375,2810.840576171875
854,-1351.6128540039062,-1241.80078125,-1333.92529296875,-1241.3319702148438,"PX",-1353.208984375,-2574.607666015625,1369.7281494140625,2808.155029296875
354,-0.17051275819540024,77.50112533569336,-0.17617153376340866,99.4050407409668,"PX",-181.66070556640625,-94.27738952636719,180.81382751464844,99.42002868652344
357,0.08033457398414612,184.1564483642578,0.07916494458913803,205.96595001220703,"PX",-334.5724792480469,-192.33396911621094,268.5730285644531,205.98768615722656
444,0.08282828703522682,205.9283905029297,0.09256244450807571,184.15534210205078,"NX",-329.0794677734375,-192.56973266601562,268.8076171875,205.97988891601562
363,-319.4654083251953,239.96530151367188,-301.6238555908203,244.59439849853516,"PX",-471.0982666015625,-856.7515258789062,911.2103271484375,734.7135009765625
601,-336.02496337890625,376.9036560058594,-353.8144989013672,372.2660217285156,"NX",-473.17254638671875,-857.8417358398438,918.973876953125,735.4021606445312
347,-180.44873809814453,988.7387084960938,-190.3410873413086,973.8698425292969,"NX",-3043.234619140625,-3170.44921875,3044.92138671875,1678.68212890625
